Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries,"Bieschke, Marke","Robinson, Christopher",,Florida,St. Johns County School District,May 2022,Formal Challenge
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Tennessee,Collierville Schools,February 2022,Administrator
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Wisconsin,Elmbrook Schools,July 2021,Administrator
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Wisconsin,School District of Waukesha,December 2021,Administrator
"Bell, Derrick",Faces at the Bottom of the Well: The Permanence of Racism,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Bell, Eric",Alan Cole Is Not a Coward,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Bell, William",Death Wind,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Bell, William",Death Wind,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Bell, William",La tormenta,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Benincasa, Sara",Great,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Benincasa, Sara",Great,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Bennett, Kelly",Not Norman: A Goldfish Story,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administrator
"Bennett, Michael",Things That Make White People Uncomfortable (Adapted for Young Adults),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Benway, Robin",Far from the Tree,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administrator
"Benway, Robin",Far from the Tree,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator
"Benwell, Fox",Kaleidoscope Song,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Berenstain, Jan",The Berenstain Bears and the Big Question (The Berenstain Bears Series),Banned Pending Investigation,"Berenstain, Stan",,,Florida,Duval County Public Schools,January 2022,Administrator
"Bermudez, Cyn",This Place Is Not My Home,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,February 2022,Administrator
"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Bevan, Thomas E.",Being Transgender: What You Should Know,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Bildner, Phil",Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans,Banned in Classrooms,,"Parra, John",,Pennsylvania,Central York School District,August 2021,Administrator
"Bildner, Phil",Most Valuable Players (Rip and Red Series),Banned Pending Investigation,,"Probert, Tim",,Florida,Duval County Public Schools,January 2022,Administrator
"Bildner, Phil",Playing the Field,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Birch, Anna",I Kissed Alice,Banned Pending Investigation,,"Ying, Victoria",,Tennessee,Collierville Schools,February 2022,Administrator
"Bird, Jackson","Sorted: Growing Up, Coming Out, and Finding My Place",Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Birtha, Becky",Grandmama's Pride,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Bjorkman, Lauren",My Invented Life,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Bjorkman, Lauren",My Invented Life,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Blackall, Sophie",The Baby Tree,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Blackall, Sophie",The Baby Tree,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Blackall, Sophie",The Baby Tree,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge
"Blacker, Terence",Boy2Girl,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Blake, Ashley Herring",Girl Made of Stars,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Blake, Ashley Herring",Girl Made of Stars,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Blake, Ashley Herring",How to Make a Wish,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Blake, Ashley Herring",La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,"Rojas, María Celina",Texas,North East Independent School District,December 2021,Administrator
"Blake, Ashley Herring",The Mighty Heart of Sunny St. James,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Blakemore, Kim Taylor",Bowery Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Blount, Patty",Someone I Used to Know,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Blume, Judy",Forever...,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Blume, Judy",Forever...,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Blume, Judy",Forever...,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator
"Blume, Judy",Forever...,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Blume, Judy","Then Again, Maybe I Won't",Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Blumenthal, Karen",Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Boelts, Maribeth",A Bike Like Sergio's,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administrator
"Boelts, Maribeth",Those Shoes,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administrator
"Bolden, Tonya",Changing the Equation: 50+ US Black Women in STEM,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Bongiovanni, Archie",A Quick & Easy Guide to They/Them Pronouns,Banned in Libraries and Classrooms,"Jimerson, Tristan",,,Tennessee,Collierville Schools,February 2022,Administrator
"Borinsky, Agnes",Sasha Masha,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
Born This Way Foundation Reporters,Channel Kindness: Stories of Kindness and Community,Banned Pending Investigation,Lady Gaga,,,Tennessee,Collierville Schools,February 2022,Administrator
"Bors, Matt","Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Boteju, Tanya",Bruised,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Boteju, Tanya","Kings, Queens, and In-Betweens",Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Bourne, Shakirah","Allies: Real Talk About Showing Up, Screwing Up, And Trying Again",Banned Pending Investigation,"Levy, Dana Alison",,,Tennessee,Collierville Schools,February 2022,Administrator
"Bowles, David",The Witch Owl Parliament (Clockwork Curandera Series),Banned Pending Investigation,Raúl the Third,"Robinson, Stacey; Duffy, Damian",,Tennessee,Collierville Schools,February 2022,Administrator
"Bowman, Akemi Dawn",Summer Bird Blue,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Boyd, Maria",Will,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Braden, Ann",The Benefits of Being an Octopus,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator
"Brandon, James","Ziggy, Stardust and Me",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Braswell, Kenneth","Daddy, There's A Noise Outside",Banned in Classrooms,,"Dent, Joe; Anderson, Julie",,Pennsylvania,Central York School District,August 2021,Administrator
"Braun, Eric",Protest Movements: Then and Now,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge
"Bray, Libba",Lair of Dreams (The Diviners Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Brewer, Z",Into the Real,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Bridges, Ruby",This Is Your Time,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator
"Bridges, Ruby",This Is Your Time,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Brooks, Kevin",Black Rabbit Summer,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Brooks, Kevin",Black Rabbit Summer,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Brown-Wood, JaNay",Imani's Moon,Banned in Classrooms,,"Mitchell, Hazel",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Dinah",Who Is Malala Yousafzai? (Who was...? Series),Banned in Classrooms,,"Thomson, Andrew",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge
"Brown, Jaye Robin",The Key to You and Me,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Brown, Jaye Robin",The Meaning of Birds,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Brown, Monica",Lola Levine and the Ballet Scheme (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica",Lola Levine and the Halloween Scream (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica",Lola Levine and the Vacation Dream (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica",Lola Levine Is Not Mean! (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica",Lola Levine Meets Jelly and Bean (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica",Lola Levine: Drama Queen (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica",Marisol McDonald Doesn't Match (Marisol McDonald Series),Banned Pending Investigation,,"Palacios, Sara",,Florida,Duval County Public Schools,January 2022,Administrator
"Brown, Monica",Marisol McDonald Doesn't Match (Marisol McDonald Series),Banned in Classrooms,,"Palacios, Sara",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica",My Name Is Celia: The Life Of Celia Cruz / Me Llamo Celia: La Vida de Celia Cruz,Banned in Classrooms,,"López, Rafael",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica","Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English",Banned in Classrooms,,"Gutierrez, Rudy",,Pennsylvania,Central York School District,August 2021,Administrator
"Brown, Monica","Tito Puente, Mambo King/Tito Puente, Rey del Mambo",Banned in Classrooms,,"López, Rafael",,Pennsylvania,Central York School District,August 2021,Administrator
