Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Missouri,North Kansas City Schools,October 2021,Formal Challenge
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Rhode Island,Pawtucket School Department,December 2021,Administrator
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,South Dakota,Rapid City Area Schools,April 2022,Administrator
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Texas,Clear Creek Independent School District,May 2022,Administrator
"Becker, Helaine",Counting on Katherine: How Katherine Johnson Saved Apollo 13,Banned in Classrooms,,"Phumiruk, Dow",,Pennsylvania,Central York School District,August 2021,Administrator
"Beckman, Wendy Hart","Dating, Relationships, And Sexuality: What Teens Should Know",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Behar, Ruth",Lucky Broken Girl,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Behar, Ruth",Lucky Broken Girl,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
